ResponseID,qid,question,subq_id,subq_label,response,subjCode,no_content
R_2fBaNefS4WQ4aSv,,,diff.2.6.,Topology-Connexity (6),there are two parts,gvi_engDescr_112,0
R_ZgvtPxJ1brQuX97,,,diff.2.6.,Topology-Connexity (6),"two shapes, not one",gvi_engDescr_118,0
R_1Fmmct8CS7tA9kg,,,diff.2.6.,Topology-Connexity (6),has two parts,gvi_engDescr_124,0
R_VLjMzvo3e3k8kmd,,,diff.2.6.,Topology-Connexity (6),two pieces not 1,gvi_engDescr_127,0
R_3hFwSdB8peLNVpe,,,diff.2.6.,Topology-Connexity (6),two shapes not one,gvi_engDescr_130,0
R_2PBBUv1gTdHRAqC,,,diff.3.6.,Topology-Connexity (6),Disconnected,gvi_engDescr_115,0
R_dpcUXRyEFMpmos9,,,diff.3.6.,Topology-Connexity (6),two shapes not one,gvi_engDescr_116,0
R_1lh6k6dMrUeAQpm,,,diff.3.6.,Topology-Connexity (6),two shapes,gvi_engDescr_121,0
R_sFPYvdhUYOnThHH,,,diff.3.6.,Topology-Connexity (6),there two shapes,gvi_engDescr_125,0
R_3L783jUrynuU4W0,,,diff.3.6.,Topology-Connexity (6),two,gvi_engDescr_129,0
R_1It8Ou5UAdG2WKl,,,diff.3.6.,Topology-Connexity (6),"has two shapes, not one",gvi_engDescr_133,0
R_WeqC6wn9PQHTx0l,,,diff.4.6.,Topology-Connexity (6),two shapes not just one,gvi_engDescr_109,0
R_2zOzGSlpICiYQ9A,,,diff.4.6.,Topology-Connexity (6),Two shapes,gvi_engDescr_114,0
R_W1LMT2IoWTlQ8sp,,,diff.4.6.,Topology-Connexity (6),two shapes instead of one,gvi_engDescr_117,0
R_2dtMh5g2OfCmCBi,,,diff.4.6.,Topology-Connexity (6),There are two shapes rather than just one.,gvi_engDescr_120,0
R_3EijZNnFAKg7vFf,,,diff.4.6.,Topology-Connexity (6),Two figures not one,gvi_engDescr_122,0
R_2pQMB1AiUu3SvUA,,,diff.4.6.,Topology-Connexity (6),"two shapes, not one",gvi_engDescr_126,0
R_1FwRtnjOPXLOav2,,,diff.4.6.,Topology-Connexity (6),separated,gvi_engDescr_131,0
R_2AMXEuLmrSSErpc,,,diff.1.7.,Topology-Belongsto (7),Black dot not attached to line,gvi_engDescr_113,0
R_bO6zhS2LPMenbbj,,,diff.1.7.,Topology-Belongsto (7),dot not on line,gvi_engDescr_119,0
R_1jjIkCmmHGItkRM,,,diff.1.7.,Topology-Belongsto (7),Dot off of line,gvi_engDescr_123,0
R_yCn5gKcjZR9k6lj,,,diff.1.7.,Topology-Belongsto (7),dot not on line,gvi_engDescr_128,0
R_Re2WkM0GOcEF54d,,,diff.1.7.,Topology-Belongsto (7),Dot not on line,gvi_engDescr_132,0
R_2fBaNefS4WQ4aSv,,,diff.2.7.,Topology-Belongsto (7),dot is not on the line,gvi_engDescr_112,0
R_ZgvtPxJ1brQuX97,,,diff.2.7.,Topology-Belongsto (7),dot is not placed on line,gvi_engDescr_118,0
R_1Fmmct8CS7tA9kg,,,diff.2.7.,Topology-Belongsto (7),dot is off of it,gvi_engDescr_124,0
R_VLjMzvo3e3k8kmd,,,diff.2.7.,Topology-Belongsto (7),Dot not on line,gvi_engDescr_127,0
R_3hFwSdB8peLNVpe,,,diff.2.7.,Topology-Belongsto (7),dot not on line,gvi_engDescr_130,0
R_2PBBUv1gTdHRAqC,,,diff.3.7.,Topology-Belongsto (7),Position of dot,gvi_engDescr_115,0
R_dpcUXRyEFMpmos9,,,diff.3.7.,Topology-Belongsto (7),dot not on line,gvi_engDescr_116,0
R_1lh6k6dMrUeAQpm,,,diff.3.7.,Topology-Belongsto (7),dot not on the line,gvi_engDescr_121,0
R_sFPYvdhUYOnThHH,,,diff.3.7.,Topology-Belongsto (7),the dot is not on the line,gvi_engDescr_125,0
R_3L783jUrynuU4W0,,,diff.3.7.,Topology-Belongsto (7),not along the line,gvi_engDescr_129,0
R_1It8Ou5UAdG2WKl,,,diff.3.7.,Topology-Belongsto (7),circle not on line,gvi_engDescr_133,0
R_2zOzGSlpICiYQ9A,,,diff.4.7.,Topology-Belongsto (7),The black dot is not on the line,gvi_engDescr_114,0
R_W1LMT2IoWTlQ8sp,,,diff.4.7.,Topology-Belongsto (7),dot not on the line,gvi_engDescr_117,0
R_2dtMh5g2OfCmCBi,,,diff.4.7.,Topology-Belongsto (7),dot off line,gvi_engDescr_120,0
R_3EijZNnFAKg7vFf,,,diff.4.7.,Topology-Belongsto (7),Dot not on line,gvi_engDescr_122,0
R_2pQMB1AiUu3SvUA,,,diff.4.7.,Topology-Belongsto (7),dot not on line,gvi_engDescr_126,0
R_1FwRtnjOPXLOav2,,,diff.4.7.,Topology-Belongsto (7),point not on the line,gvi_engDescr_131,0
R_2AMXEuLmrSSErpc,,,diff.1.8.,Geometry-line-1 (8),Straight line,gvi_engDescr_113,0
R_bO6zhS2LPMenbbj,,,diff.1.8.,Geometry-line-1 (8),straight line,gvi_engDescr_119,0
R_1jjIkCmmHGItkRM,,,diff.1.8.,Geometry-line-1 (8),"Line straight, not curved",gvi_engDescr_123,0
R_yCn5gKcjZR9k6lj,,,diff.1.8.,Geometry-line-1 (8),Straight line instead of curved,gvi_engDescr_128,0
R_Re2WkM0GOcEF54d,,,diff.1.8.,Geometry-line-1 (8),Straight line,gvi_engDescr_132,0
R_2fBaNefS4WQ4aSv,,,diff.2.8.,Geometry-line-1 (8),straight line,gvi_engDescr_112,0
R_ZgvtPxJ1brQuX97,,,diff.2.8.,Geometry-line-1 (8),line not curved,gvi_engDescr_118,0
R_1Fmmct8CS7tA9kg,,,diff.2.8.,Geometry-line-1 (8),different shape of line,gvi_engDescr_124,0
R_VLjMzvo3e3k8kmd,,,diff.2.8.,Geometry-line-1 (8),Straight not bent,gvi_engDescr_127,0
R_3hFwSdB8peLNVpe,,,diff.2.8.,Geometry-line-1 (8),straight not curvy,gvi_engDescr_130,0
R_2PBBUv1gTdHRAqC,,,diff.3.8.,Geometry-line-1 (8),Non-curved,gvi_engDescr_115,0
R_dpcUXRyEFMpmos9,,,diff.3.8.,Geometry-line-1 (8),straight line,gvi_engDescr_116,0
R_1lh6k6dMrUeAQpm,,,diff.3.8.,Geometry-line-1 (8),straight line,gvi_engDescr_121,0
R_sFPYvdhUYOnThHH,,,diff.3.8.,Geometry-line-1 (8),the line is straight,gvi_engDescr_125,0
R_3L783jUrynuU4W0,,,diff.3.8.,Geometry-line-1 (8),straight,gvi_engDescr_129,0
R_1It8Ou5UAdG2WKl,,,diff.3.8.,Geometry-line-1 (8),only straight line,gvi_engDescr_133,0
R_2zOzGSlpICiYQ9A,,,diff.4.8.,Geometry-line-1 (8),Straight line instead of curved,gvi_engDescr_114,0
R_W1LMT2IoWTlQ8sp,,,diff.4.8.,Geometry-line-1 (8),straight not bent,gvi_engDescr_117,0
R_2dtMh5g2OfCmCBi,,,diff.4.8.,Geometry-line-1 (8),straight line,gvi_engDescr_120,0
R_3EijZNnFAKg7vFf,,,diff.4.8.,Geometry-line-1 (8),line is straight not curved,gvi_engDescr_122,0
R_2pQMB1AiUu3SvUA,,,diff.4.8.,Geometry-line-1 (8),"straight line, others curved",gvi_engDescr_126,0
R_1FwRtnjOPXLOav2,,,diff.4.8.,Geometry-line-1 (8),straight,gvi_engDescr_131,0
R_2AMXEuLmrSSErpc,,,diff.1.9.,Geometry-Convexity (9),Has a dent in the shape,gvi_engDescr_113,0
R_bO6zhS2LPMenbbj,,,diff.1.9.,Geometry-Convexity (9),indented shape,gvi_engDescr_119,0
R_1jjIkCmmHGItkRM,,,diff.1.9.,Geometry-Convexity (9),Shape has a concave side,gvi_engDescr_123,0
R_yCn5gKcjZR9k6lj,,,diff.1.9.,Geometry-Convexity (9),C shape rather than solid shape,gvi_engDescr_128,0
R_Re2WkM0GOcEF54d,,,diff.1.9.,Geometry-Convexity (9),Less cohesive shape,gvi_engDescr_132,0
R_2fBaNefS4WQ4aSv,,,diff.2.9.,Geometry-Convexity (9),the shape is a little weird,gvi_engDescr_112,0
R_ZgvtPxJ1brQuX97,,,diff.2.9.,Geometry-Convexity (9),part of shape's border curving inward,gvi_engDescr_118,0
R_1Fmmct8CS7tA9kg,,,diff.2.9.,Geometry-Convexity (9),it is incomplete,gvi_engDescr_124,0
R_VLjMzvo3e3k8kmd,,,diff.2.9.,Geometry-Convexity (9),Has indent,gvi_engDescr_127,0
R_3hFwSdB8peLNVpe,,,diff.2.9.,Geometry-Convexity (9),shape curves in (convex),gvi_engDescr_130,0
R_1N9r3iH3o2osSTg,,,diff.3.9.,Geometry-Convexity (9),not same as others,oddOneOut_104,0
R_2PBBUv1gTdHRAqC,,,diff.3.9.,Geometry-Convexity (9),Shape,gvi_engDescr_115,0
R_dpcUXRyEFMpmos9,,,diff.3.9.,Geometry-Convexity (9),curved,gvi_engDescr_116,0
R_1lh6k6dMrUeAQpm,,,diff.3.9.,Geometry-Convexity (9),bent shape,gvi_engDescr_121,0
R_sFPYvdhUYOnThHH,,,diff.3.9.,Geometry-Convexity (9),has a side curving inside,gvi_engDescr_125,0
R_3L783jUrynuU4W0,,,diff.3.9.,Geometry-Convexity (9),gap,gvi_engDescr_129,0
R_1It8Ou5UAdG2WKl,,,diff.3.9.,Geometry-Convexity (9),has an inward curve unlike the others,gvi_engDescr_133,0
R_2zOzGSlpICiYQ9A,,,diff.4.9.,Geometry-Convexity (9),More of an oblong and weird shape,gvi_engDescr_114,0
R_W1LMT2IoWTlQ8sp,,,diff.4.9.,Geometry-Convexity (9),hollow from outside,gvi_engDescr_117,0
R_2dtMh5g2OfCmCBi,,,diff.4.9.,Geometry-Convexity (9),Curved different,gvi_engDescr_120,0
R_3EijZNnFAKg7vFf,,,diff.4.9.,Geometry-Convexity (9),Only crescent shape,gvi_engDescr_122,0
R_2pQMB1AiUu3SvUA,,,diff.4.9.,Geometry-Convexity (9),concave feature,gvi_engDescr_126,0
R_1FwRtnjOPXLOav2,,,diff.4.9.,Geometry-Convexity (9),shape,gvi_engDescr_131,0
R_2AMXEuLmrSSErpc,,,diff.1.10.,Geometry-line-2 (10),Curved line,gvi_engDescr_113,0
R_bO6zhS2LPMenbbj,,,diff.1.10.,Geometry-line-2 (10),curved line,gvi_engDescr_119,0
R_1jjIkCmmHGItkRM,,,diff.1.10.,Geometry-line-2 (10),Line not straight,gvi_engDescr_123,0
R_yCn5gKcjZR9k6lj,,,diff.1.10.,Geometry-line-2 (10),Curved line,gvi_engDescr_128,0
R_Re2WkM0GOcEF54d,,,diff.1.10.,Geometry-line-2 (10),Curved line,gvi_engDescr_132,0
R_2fBaNefS4WQ4aSv,,,diff.2.10.,Geometry-line-2 (10),curve,gvi_engDescr_112,0
R_ZgvtPxJ1brQuX97,,,diff.2.10.,Geometry-line-2 (10),"line is curved, not straight",gvi_engDescr_118,0
R_1Fmmct8CS7tA9kg,,,diff.2.10.,Geometry-line-2 (10),curved shape,gvi_engDescr_124,0
R_VLjMzvo3e3k8kmd,,,diff.2.10.,Geometry-line-2 (10),Bent line,gvi_engDescr_127,0
R_3hFwSdB8peLNVpe,,,diff.2.10.,Geometry-line-2 (10),curvy not straight,gvi_engDescr_130,0
R_2PBBUv1gTdHRAqC,,,diff.3.10.,Geometry-line-2 (10),Curved,gvi_engDescr_115,0
R_dpcUXRyEFMpmos9,,,diff.3.10.,Geometry-line-2 (10),curved,gvi_engDescr_116,0
R_1lh6k6dMrUeAQpm,,,diff.3.10.,Geometry-line-2 (10),curved line,gvi_engDescr_121,0
R_sFPYvdhUYOnThHH,,,diff.3.10.,Geometry-line-2 (10),the only curve line,gvi_engDescr_125,0
R_3L783jUrynuU4W0,,,diff.3.10.,Geometry-line-2 (10),curve,gvi_engDescr_129,0
R_1It8Ou5UAdG2WKl,,,diff.3.10.,Geometry-line-2 (10),only curved line,gvi_engDescr_133,0
R_2zOzGSlpICiYQ9A,,,diff.4.10.,Geometry-line-2 (10),Curved line,gvi_engDescr_114,0
R_W1LMT2IoWTlQ8sp,,,diff.4.10.,Geometry-line-2 (10),bent not straight,gvi_engDescr_117,0
R_2dtMh5g2OfCmCBi,,,diff.4.10.,Geometry-line-2 (10),Curved,gvi_engDescr_120,0
R_3EijZNnFAKg7vFf,,,diff.4.10.,Geometry-line-2 (10),Curved line not straight,gvi_engDescr_122,0
R_2pQMB1AiUu3SvUA,,,diff.4.10.,Geometry-line-2 (10),"line curved, others not",gvi_engDescr_126,0
R_1FwRtnjOPXLOav2,,,diff.4.10.,Geometry-line-2 (10),not straight line,gvi_engDescr_131,0
R_2AMXEuLmrSSErpc,,,diff.1.11.,Geometry-line-3 (11),Dot is not lined up with end of line,gvi_engDescr_113,0
R_bO6zhS2LPMenbbj,,,diff.1.11.,Geometry-line-3 (11),dot not parallel,gvi_engDescr_119,0
R_1jjIkCmmHGItkRM,,,diff.1.11.,Geometry-line-3 (11),Circle out of line with segment,gvi_engDescr_123,0
R_yCn5gKcjZR9k6lj,,,diff.1.11.,Geometry-line-3 (11),dot not centered with line,gvi_engDescr_128,0
R_Re2WkM0GOcEF54d,,,diff.1.11.,Geometry-line-3 (11),Dot to the side of line,gvi_engDescr_132,0
R_2rOXJVSY5q9PQs5,,,diff.2.11.,Geometry-line-3 (11),different line and dot placement,gvi_engDescr_107,0
R_2fBaNefS4WQ4aSv,,,diff.2.11.,Geometry-line-3 (11),the dot is not on the top of the line,gvi_engDescr_112,0
R_ZgvtPxJ1brQuX97,,,diff.2.11.,Geometry-line-3 (11),dot unaligned with line,gvi_engDescr_118,0
R_1Fmmct8CS7tA9kg,,,diff.2.11.,Geometry-line-3 (11),dot is not straight with the line,gvi_engDescr_124,0
R_VLjMzvo3e3k8kmd,,,diff.2.11.,Geometry-line-3 (11),Dot and line not aligned,gvi_engDescr_127,0
R_3hFwSdB8peLNVpe,,,diff.2.11.,Geometry-line-3 (11),dot not in line with line,gvi_engDescr_130,0
R_2PBBUv1gTdHRAqC,,,diff.3.11.,Geometry-line-3 (11),Position of dot,gvi_engDescr_115,0
R_dpcUXRyEFMpmos9,,,diff.3.11.,Geometry-line-3 (11),dot is out of line,gvi_engDescr_116,0
R_1lh6k6dMrUeAQpm,,,diff.3.11.,Geometry-line-3 (11),Dot unparalleled with the line,gvi_engDescr_121,0
R_sFPYvdhUYOnThHH,,,diff.3.11.,Geometry-line-3 (11),the dot  is not on the line,gvi_engDescr_125,0
R_3L783jUrynuU4W0,,,diff.3.11.,Geometry-line-3 (11),line on the left,gvi_engDescr_129,0
R_1It8Ou5UAdG2WKl,,,diff.3.11.,Geometry-line-3 (11),circle is not perfectly aligned with line,gvi_engDescr_133,0
R_2zOzGSlpICiYQ9A,,,diff.4.11.,Geometry-line-3 (11),Black dot is not at the end of the line,gvi_engDescr_114,0
R_W1LMT2IoWTlQ8sp,,,diff.4.11.,Geometry-line-3 (11),dot away from the line,gvi_engDescr_117,0
R_2dtMh5g2OfCmCBi,,,diff.4.11.,Geometry-line-3 (11),dot is not straight out,gvi_engDescr_120,0
R_3EijZNnFAKg7vFf,,,diff.4.11.,Geometry-line-3 (11),Dot is not in line with the line,gvi_engDescr_122,0
R_2pQMB1AiUu3SvUA,,,diff.4.11.,Geometry-line-3 (11),dot not at end of line,gvi_engDescr_126,0
R_1FwRtnjOPXLOav2,,,diff.4.11.,Geometry-line-3 (11),position of the spot,gvi_engDescr_131,0
R_u9u5pZ5FaiGrzdn,,,diff.1.12.,Geometry-Quadrilateral (12),only has three sides,oddOneOut_103,0
R_2AMXEuLmrSSErpc,,,diff.1.12.,Geometry-Quadrilateral (12),Not a quadrilateral,gvi_engDescr_113,0
R_bO6zhS2LPMenbbj,,,diff.1.12.,Geometry-Quadrilateral (12),triangle,gvi_engDescr_119,0
R_1jjIkCmmHGItkRM,,,diff.1.12.,Geometry-Quadrilateral (12),"Triangular, not quadrangular",gvi_engDescr_123,0
R_yCn5gKcjZR9k6lj,,,diff.1.12.,Geometry-Quadrilateral (12),Triangle not quadrilateral,gvi_engDescr_128,0
R_Re2WkM0GOcEF54d,,,diff.1.12.,Geometry-Quadrilateral (12),Three sides,gvi_engDescr_132,0
R_2fBaNefS4WQ4aSv,,,diff.2.12.,Geometry-Quadrilateral (12),it is a triangle,gvi_engDescr_112,0
R_ZgvtPxJ1brQuX97,,,diff.2.12.,Geometry-Quadrilateral (12),only three borders,gvi_engDescr_118,0
R_1Fmmct8CS7tA9kg,,,diff.2.12.,Geometry-Quadrilateral (12),does not have four sides,gvi_engDescr_124,0
R_VLjMzvo3e3k8kmd,,,diff.2.12.,Geometry-Quadrilateral (12),Only three sides,gvi_engDescr_127,0
R_3hFwSdB8peLNVpe,,,diff.2.12.,Geometry-Quadrilateral (12),only triangle,gvi_engDescr_130,0
R_1N9r3iH3o2osSTg,,,diff.3.12.,Geometry-Quadrilateral (12),three,oddOneOut_104,0
R_2PBBUv1gTdHRAqC,,,diff.3.12.,Geometry-Quadrilateral (12),Number of angles,gvi_engDescr_115,0
R_dpcUXRyEFMpmos9,,,diff.3.12.,Geometry-Quadrilateral (12),triangle not 4 sides,gvi_engDescr_116,0
R_1lh6k6dMrUeAQpm,,,diff.3.12.,Geometry-Quadrilateral (12),only three sides,gvi_engDescr_121,0
R_sFPYvdhUYOnThHH,,,diff.3.12.,Geometry-Quadrilateral (12),three sides triangle,gvi_engDescr_125,0
R_3L783jUrynuU4W0,,,diff.3.12.,Geometry-Quadrilateral (12),triangle,gvi_engDescr_129,0
R_1It8Ou5UAdG2WKl,,,diff.3.12.,Geometry-Quadrilateral (12),"triangle, not four-sided",gvi_engDescr_133,0
R_2zOzGSlpICiYQ9A,,,diff.4.12.,Geometry-Quadrilateral (12),Triangle instead of a trapezoid or a square,gvi_engDescr_114,0
R_W1LMT2IoWTlQ8sp,,,diff.4.12.,Geometry-Quadrilateral (12),a triangle instead of a square,gvi_engDescr_117,0
R_2dtMh5g2OfCmCBi,,,diff.4.12.,Geometry-Quadrilateral (12),only triangle,gvi_engDescr_120,0
R_3EijZNnFAKg7vFf,,,diff.4.12.,Geometry-Quadrilateral (12),Triangle not a quadrilateral,gvi_engDescr_122,0
R_2pQMB1AiUu3SvUA,,,diff.4.12.,Geometry-Quadrilateral (12),"triangle, not quadrilateral",gvi_engDescr_126,0
R_1FwRtnjOPXLOav2,,,diff.4.12.,Geometry-Quadrilateral (12),shape,gvi_engDescr_131,0
R_2AMXEuLmrSSErpc,,,diff.1.13.,Geometry-Rightangle-1 (13),Not a right triangle,gvi_engDescr_113,0
R_bO6zhS2LPMenbbj,,,diff.1.13.,Geometry-Rightangle-1 (13),widest angle,gvi_engDescr_119,0
