diff(10),diff(10),diff(11),diff(11),diff(12),diff(12),diff(13),diff(13),diff(14),diff(14),diff(15),diff(15),diff(16),diff(16),diff(18),diff(18),diff(19),diff(19),diff(20),diff(20),diff(21),diff(21),diff(22),diff(22),diff(23),diff(23),diff(24),diff(24),diff(25),diff(25),diff(26),diff(26),diff(27),diff(27),diff(28),diff(28),diff(29),diff(29),diff(3),diff(3),diff(30),diff(30),diff(31),diff(31),diff(32),diff(32),diff(33),diff(33),diff(34),diff(34),diff(35),diff(35),diff(36),diff(36),diff(37),diff(37),diff(38),diff(38),diff(39),diff(39),diff(4),diff(4),diff(40),diff(40),diff(41),diff(41),diff(42),diff(42),diff(43),diff(43),diff(44),diff(44),diff(45),diff(45),diff(5),diff(5),diff(6),diff(6),diff(7),diff(7),diff(8),diff(8),diff(9),diff(9)
curved,curved,straight,angle,sides,triangle,degrees,diff,perpendicular,orientation,perpendicular,slanted,line,far,circle,center,dot,near,triangle,triangle,least,dot,dot,larger,rectangle,square,shape,rectangle,rhombus,parallelogram,different,side,shapes,shape,shape,symatrical,different,ends,empty,blob,different,line,one,arent,dot,triangle,images,direction,equilateral,shapes,images,nothing,orientation,small,parallel,two,orientation,ball,triangle,triangle,within,outside,orientation,sat,line,facing,side,lines,dots,spacing,different,lines,dots,spacing,open,shape,two,shapes,line,line,straight,straight,inward,different
line,curved,line,dot,sides,variation,degrees,shape,lines,angels,lines,two,line,away,bigger,dot,dot,end,equilateral,sides,least,extreme,closest,slightly,shape,shape,different,right,rhombus,top,different,match,shapes,triangles,different,lines,shape,wide,space,hole,different,symmetry,one,orientated,dot,dot,images,triangles,triangles,one,either,uhm,orientation,triangle,parallel,lines,orientation,right,smaller,small,within,blob,orientation,straight,line,left,side,different,dots,symmetric,different,face,dots,dots,open,fully,shapes,two,dot,dot,line,line,inward,shape
line,line,line,weird,sides,square,angle,flatter,lines,right,lines,lines,dot,ball,bigger,center,middle,dot,equilateral,even,amount,position,closest,larger,shape,rectangle,different,angles,rhombus,missing,different,length,mirror,general,different,symmetry,shape,middle,space,blob,shape,figure,one,way,mirror,point,images,pointing,triangles,symbol,either,nothing,orientation,mirror,parallel,parellel,orientation,side,smaller,triangle,shape,dot,orientation,angle,right,ball,side,side,bigger,space,different,right,unique,dots,open,enclosed,shapes,shapes,dot,line,line,straight,shape,shape
curved,curved,line,angle,three,quadrilateral,angle,triangle,lines,angels,lines,form,dot,spaced,circle,white,middle,near,triangle,sides,amount,dot,longest,slightly,shape,square,shape,right,rhombus,unequal,shape,2,mirror,shape,shape,lines,shape,versus,within,hole,shape,line,another,shape,mirror,end,mirror,pointed,triangles,uprite,side,uhm,orientation,image,lines,potentially,different,upright,smaller,small,shape,outside,different,two,right,facing,vertical,two,bigger,one,orientation,2,unique,spaced,shape,closed,one,two,line,dot,straight,straight,shape,cut
curved,line,line,dot,sides,quadrilateral,90,flatter,perpendicular,angels,lines,right,dot,farther,circle,dot,middle,end,triangle,even,amount,extreme,longest,larger,rectangle,shape,shape,angles,rhombus,length,shape,side,mirror,triangles,shape,symmetry,shape,ends,within,blob,shape,symmetry,another,arent,mirror,towards,mirror,angle,triangles,whill,side,nothing,orientation,flipped,lines,intersecting,different,facing,smaller,triangle,shape,blob,different,lares,right,left,vertical,lines,bigger,dots,orientation,lines,unique,apart,open,closed,one,shapes,line,line,straight,line,shape,curved
line,line,line,weird,three,shape,90,triangle,perpendicular,right,lines,angle,farther,ball,circle,centered,line,dot,equilateral,equilateral,space,position,side,slightly,rectangle,rectangle,different,shape,rhombus,shape,shape,match,images,general,different,one,different,rotate,shape,hole,different,shape,another,orientated,mirror,dot,images,pointed,triangles,point,line,uhm,orientation,compared,parallel,potentially,different,right,triangles,small,circle,different,different,parallel,side,ball,vertical,different,space,space,orientation,face,unique,pairs,shape,shape,two,2,dot,point,line,straight,shape,shape
line,curved,line,angle,three,three,degrees,flatter,perpendicular,angels,perpendicular,two,farther,spaced,bigger,white,line,near,equilateral,triangle,space,dot,side,larger,rectangle,square,different,quadrilateral,rhombus,sides,shape,length,images,shape,different,jagged,different,shape,shape,blob,different,tilted,another,way,images,point,images,angle,equilateral,one,line,nothing,orientation,big,parallel,intersecting,orientation,upright,triangles,triangle,circle,shape,orientation,two,side,facing,vertical,side,space,one,orientation,right,arrangement,dots,shape,closed,two,shapes,dot,line,line,line,goes,shape
line,instead,circle,ball,three,sides,degrees,triangle,lines,perpendicular,perpendicular,lines,farther,farther,bigger,dot,line,end,triangle,equilateral,space,extreme,dot,can,shape,rectangle,different,rectangle,rhombus,trapezoid,different,quadrilateral,images,triangles,different,part,different,remain,empty,different,different,right,orientated,aligned,images,end,mirror,shapes,equilateral,symbol,mirror,wider,orientation,triangle,lines,two,orientation,facing,smaller,size,circle,ball,orientation,lares,side,left,line,two,space,dots,different,symbol,arrangement,spaced,open,shape,shapes,2,line,point,straight,line,goes,cut
line,straight,circle,side,three,instead,angle,longer,perpendicular,perpendicular,perpendicular,form,line,ball,bigger,centered,dot,dot,triangle,triangle,left,position,dot,not,rectangle,rectangle,shape,shape,rhombus,paralellogram,shape,quadrilateral,shapes,wider,different,larger,shape,rotate,empty,shape,different,angle,differently,aligned,images,towards,mirror,werent,equilateral,uprite,mirror,triangles,orientation,angle,lines,lines,orientation,right,smaller,bigger,circle,outside,orientation,parallel,circle,ball,line,lines,dots,space,different,uprite,arrangement,apart,open,closed,shapes,shapes,line,line,straight,straight,goes,curved
curved,line,straight,ball,three,four,angle,base,lines,two,perpendicular,right,line,spaced,circle,point,dot,lower,equilateral,triangle,left,dot,dot,figure,shape,square,shape,quadrilateral,rhombus,sides,different,shape,shapes,shape,different,others,shape,shape,empty,hole,shape,shape,relation,aligned,images,dot,mirror,flipped,equilateral,whill,images,wider,orientation,wrong,lines,parallel,different,point,smaller,comparison,circle,shape,different,lines,circle,facing,line,different,dots,one,different,others,arrangement,pairs,shape,line,one,2,dot,small,straight,instead,goes,shape
curved,curved,straight,side,sides,shape,90,longer,lines,lines,perpendicular,angle,line,farther,circle,centered,dot,line,equilateral,pointed,left,extreme,dot,one,rectangle,square,shape,rectangle,rhombus,two,different,quadrilateral,mirror,wider,shape,one,shape,remain,empty,middle,shape,tilted,one,aligned,either,point,mirror,side,equilateral,point,images,triangles,orientation,mismatched,lines,diverging,different,facing,triangle,size,within,different,different,parallel,circle,left,line,side,dots,dots,orientation,symbol,dots,dots,shape,connected,one,shapes,dot,black,straight,curved,inward,shape
curved,instead,line,ball,sides,three,90,base,lines,intersect,lines,perpendicular,dot,dot,bigger,point,middle,dot,equilateral,others,side,position,closest,can,shape,rectangle,different,lines,rhombus,different,shape,shape,mirror,shape,shape,jagged,different,lines,space,different,shape,right,another,aligned,either,end,mirror,line,triangles,figures,either,wider,orientation,shape,parallel,two,different,clockwise,triangle,bigger,within,shape,different,potentially,line,ball,horizontal,points,bigger,highest,orientation,uprite,dots,spaced,shape,way,two,two,dot,circle,line,line,inward,cut
curved,straight,line,side,sides,sides,degrees,longer,lines,right,perpendicular,perpendicular,dot,close,bigger,centered,middle,lower,triangle,triangle,side,dot,closest,not,shape,square,different,slatned,rhombus,lengths,shape,quadrilateral,images,wider,shape,part,different,symmetry,space,shape,shape,angle,orientated,points,either,towards,images,shapes,triangles,dotted,either,triangles,orientation,orientations,parallel,lines,orientation,point,triangle,comparison,within,ball,different,intersecting,line,left,horizontal,facing,bigger,dot,orientation,others,dots,apart,open,line,two,figures,dot,line,line,straight,inward,curved
line,curved,line,ball,sides,instead,degrees,base,lines,angles,lines,smaller,dot,line,circle,white,middle,line,triangle,pointed,side,extreme,closest,figure,rectangle,rectangle,shape,lines,rhombus,square,different,shape,images,shape,shape,larger,shape,lines,space,hole,different,crinkles,orientated,face,either,dot,images,werent,triangles,line,side,wider,orientation,shape,parallel,parallel,orientation,facing,smaller,size,within,outside,orientation,lines,right,ball,horizontal,wrong,bigger,little,different,oriented,dots,pairs,open,connected,shapes,two,line,small,line,instead,inward,shape
curved,curved,line,side,sides,four,angle,right,perpendicular,two,lines,line,farther,dot,circle,circle,line,dot,triangle,others,dot,position,closest,one,rectangle,square,shape,slatned,rhombus,rectangle,different,wrong,shapes,sides,shape,others,shape,symmetry,space,middle,different,pattern,differently,points,side,point,images,flipped,equilateral,figures,side,triangles,orientation,orientation,parallel,diverging,orientation,clockwise,smaller,bigger,within,shape,orientation,parallel,right,left,horizontal,way,bigger,farther,different,counter,unique,even,open,way,shapes,figures,line,black,line,curved,shape,one
line,line,circle,dot,three,shape,angle,triangle,perpendicular,lines,lines,meet,farther,close,circle,center,line,lower,equilateral,long,dot,dot,longest,can,shape,isnt,different,rhombus,rhombus,diagonal,shape,shape,shapes,equally,different,crinkles,different,peaks,within,different,shape,crinkles,differently,face,side,end,images,side,equilateral,dotted,line,wider,orientation,shapes,lines,lines,different,line,smaller,comparison,shape,different,orientation,potentially,side,ball,lines,points,bigger,rest,different,clockwise,unique,amount,shape,line,one,two,line,circle,straight,line,shape,seems
line,curved,circle,side,three,wrong,90,right,perpendicular,intersect,lines,large,farther,line,circle,big,line,line,equilateral,skinny,dot,extreme,longest,not,shape,square,different,rectangle,rhombus,rectangular,shape,wrong,shapes,long,different,irratic,different,jagged,within,shape,shape,pattern,relation,points,side,towards,images,line,equilateral,line,line,triangles,orientation,arent,lines,pointing,different,left,smaller,size,shape,shape,orientation,intersecting,side,left,lines,facing,space,highest,orientation,oriented,unique,dots,shape,solid,one,figures,line,line,straight,straight,shape,incomplete
curved,line,circle,line,sides,shape,90,triangle,perpendicular,right,lines,line,line,dot,circle,circle,dot,point,triangle,long,least,longer,longest,figure,rectangle,isnt,shape,rhombus,rhombus,shape,different,unequal,mirror,sides,shape,crinkles,shape,peaks,within,hole,different,shape,relation,face,side,dot,mirror,relfection,triangles,two,mirror,second,orientation,facing,lines,opposite,different,circle,smaller,bigger,shape,ball,different,lines,circle,ball,lines,wrong,space,dot,orientation,counter,unique,big,open,line,two,two,dot,dot,line,line,goes,one
curved,curved,straight,dot,sides,wrong,degrees,right,perpendicular,angles,lines,right,line,close,bigger,white,dot,middle,triangle,skinny,least,line,longest,one,rectangle,square,shape,rectangle,rhombus,sides,different,sides,mirror,equally,shape,irratic,shape,jagged,within,middle,different,asymmetrical,one,points,dot,point,images,relfection,triangles,triangles,mirror,shape,orientation,direction,parallel,lines,different,straight,smaller,comparison,shape,outside,different,parallel,circle,left,lines,way,space,little,orientation,clockwise,unique,space,open,solid,two,shapes,dot,line,line,straight,goes,seems
line,curved,straight,side,three,quadrilateral,degrees,triangle,lines,x,lines,angle,line,line,bigger,circle,dot,line,equilateral,equilateral,amount,longer,side,can,shape,square,different,diamond,rhombus,different,shape,unequal,mirror,long,different,shape,different,crinkles,shape,different,shape,shape,one,face,dot,end,mirror,triangles,triangles,mirror,mirror,seems,orientation,points,parallel,pointing,orientation,line,triangles,size,shape,shape,orientation,lines,line,shape,left,points,space,farther,different,two,arrangement,even,shape,open,two,instead,line,dot,straight,line,goes,incomplete
line,line,straight,line,sides,quadrilateral,angle,triangle,lines,slanted,perpendicular,smaller,dot,point,bigger,center,middle,point,equilateral,triangle,amount,line,side,not,rectangle,square,different,rectangle,rhombus,size,shape,sides,images,sides,different,symmetrical,different,irratic,shape,shape,shape,asymmetrical,another,points,dot,towards,mirror,point,triangles,image,mirror,little,orientation,facing,parallel,opposite,orientation,left,triangles,bigger,circle,dot,orientation,parallel,line,facing,left,facing,space,rest,different,small,arrangement,amount,shape,shape,two,one,line,line,straight,straight,inward,one
line,straight,line,dot,three,triangle,angle,right,perpendicular,x,perpendicular,line,dot,far,bigger,big,middle,middle,triangle,equilateral,space,longer,side,figure,shape,rectangle,shape,diamond,rhombus,different,different,different,images,equally,shape,shape,shape,crinkles,shape,hole,different,different,another,face,dot,dot,mirror,directed,triangles,flipped,mirror,big,orientation,tips,lines,lines,orientation,circle,triangles,comparison,circle,outside,different,two,line,left,left,wrong,dots,highest,different,lines,arrangement,dots,shape,closed,shapes,two,dot,dot,line,line,inward,seems
curved,curved,line,side,three,four,angle,triangle,perpendicular,slanted,perpendicular,meet,dot,line,bigger,circle,middle,line,triangle,triangle,space,line,side,one,rectangle,rectangle,shape,rectangle,rhombus,shape,different,shape,images,long,shape,symmetrical,shape,irratic,shape,middle,different,shape,orientated,second,mirror,angle,mirror,upper,equilateral,two,mirror,smaller,orientation,triangle,lines,parallel,orientation,straight,smaller,two,circle,image,different,lines,right,shape,left,way,dots,dot,different,point,arrangement,big,open,open,shapes,shapes,dot,line,line,straight,inward,incomplete
curved,line,line,line,three,sides,90,triangle,lines,crossed,perpendicular,large,farther,point,circle,white,line,point,equilateral,tall,left,longer,dot,white,shape,shape,different,doesnt,one,rhombus,different,orientation,shapes,display,different,different,different,shape,empty,gap,different,orientation,orientated,symbol,mirror,base,mirror,left,equilateral,triangles,images,second,orientation,pointing,parallel,lines,different,upside,smaller,shapes,within,dot,different,paralell,right,facing,side,points,dots,little,different,downward,arrangement,space,open,shape,shapes,instead,line,dot,straight,straight,shape,concave
curved,straight,line,dot,sides,triangle,90,right,lines,different,perpendicular,line,farther,far,circle,dot,line,middle,equilateral,triangle,left,line,dot,dot,shape,rectangle,different,90,wide,rhombus,shape,different,shapes,reflection,different,orientation,different,symmetrical,empty,middle,shape,different,orientated,flipped,mirror,facing,images,triangles,equilateral,mirror,images,shape,orientation,large,parallel,parallel,orientation,upside,smaller,pointing,within,outside,orientation,two,right,left,side,facing,dots,farther,different,lower,dots,even,open,closed,shapes,one,line,line,straight,line,shape,side
line,straight,line,side,sides,four,90,triangle,lines,angle,perpendicular,right,farther,line,circle,centered,line,line,equilateral,short,side,longer,dot,closer,rectangle,shape,different,degree,end,rhombus,shape,shape,mirror,display,shape,different,shape,shape,empty,shape,shape,shape,orientated,one,mirror,dot,images,point,equilateral,image,images,seems,orientation,difference,lines,shapes,different,dot,smaller,side,within,image,orientation,lines,side,shape,side,wrong,dots,rest,different,right,dots,amount,shape,gap,one,two,dot,different,straight,curved,goes,concave
line,line,line,line,sides,sides,degrees,triangle,perpendicular,crossed,perpendicular,angle,line,point,bigger,white,dot,black,triangle,tall,side,line,dot,acute,rectangle,rectangle,different,angles,one,2,shape,orientation,mirror,reflection,shape,orientation,shape,symmetrical,space,gap,shape,orientation,differently,second,images,angle,images,directed,equilateral,flipped,images,little,orientation,size,lines,orientation,different,right,triangle,two,shape,dot,orientation,paralell,side,facing,side,way,bigger,dots,orientation,two,dots,dots,shape,line,one,shapes,dot,dot,line,straight,goes,side
curved,straight,circle,point,three,isnt,degrees,right,perpendicular,different,lines,middle,line,far,bigger,dot,dot,dot,triangle,triangle,dot,longer,dot,angel,shape,rectangle,shape,doesnt,one,sides,different,four,images,display,different,cant,different,shape,space,middle,different,halves,differently,symbol,images,base,images,upper,triangles,triangles,images,big,orientation,facing,parallel,shapes,orientation,dot,triangle,shapes,shape,outside,different,lines,side,left,vertical,points,bigger,spaced,orientation,small,dots,big,open,gap,one,instead,dot,orientation,line,line,inward,concave
curved,line,circle,aligned,three,foursided,degrees,triangle,perpendicular,angle,lines,line,line,line,bigger,centered,dot,left,triangle,short,dot,line,closest,white,shape,square,shape,90,one,length,different,sides,images,reflection,different,evenly,different,orientation,space,shape,different,arent,differently,flipped,images,facing,images,left,triangles,facing,images,smaller,orientation,opposite,parallel,orientation,orientation,right,triangle,pointing,shape,image,different,parallel,circle,shape,vertical,facing,space,dots,orientation,lines,dots,space,open,line,one,one,line,different,line,curved,inward,side
line,line,circle,end,sides,isnt,angle,triangle,lines,flatter,lines,slanted,dot,small,circle,dot,dot,hand,equilateral,one,least,dot,closest,dot,rectangle,rectangle,shape,degree,one,seem,shape,four,shapes,triangle,different,split,shape,shape,within,gap,different,identical,differently,one,images,dot,mirror,orientation,triangles,wrong,either,second,orientation,directions,lines,lines,different,different,triangle,side,circle,point,orientation,lines,circle,facing,vertical,wrong,space,spaced,orientation,point,unique,two,shape,line,two,two,line,dot,straight,line,shape,shaped
line,curved,circle,line,sides,foursided,angle,almost,lines,cross,perpendicular,middle,dot,black,circle,offcentered,dot,side,equilateral,length,least,closer,closest,closer,rectangle,square,shape,angles,one,match,shape,sides,shapes,mirror,different,vertically,shape,orientation,within,middle,different,split,relation,second,either,angle,mirror,wrong,equilateral,triangles,either,shape,direction,shapes,lines,arent,different,orientation,smaller,two,circle,figure,orientation,parallel,circle,left,vertical,way,dots,dots,orientation,downward,unique,points,shape,connected,two,shapes,line,orientation,straight,isnt,shape,like
line,straight,straight,point,three,3,angle,flat,lines,plus,perpendicular,line,dot,circle,bigger,dot,dot,line,triangle,one,least,edge,closest,acute,rectangle,nothing,different,rectangle,wide,2,different,distorted,shapes,images,shape,cant,different,cant,within,shape,different,horizontally,relation,symbol,either,base,images,orientation,equilateral,facing,either,seems,direction,alignment,lines,parallel,orientation,different,smaller,shapes,within,point,different,different,line,point,line,points,dots,spaced,orientation,lower,unique,separated,open,line,shapes,two,dot,dot,straight,curved,shape,moon
curved,line,straight,aligned,three,sides,90,triangle,perpendicular,flatter,perpendicular,slanted,dot,line,bigger,offcentered,middle,black,triangle,length,amount,dot,closest,angel,rectangle,rectangle,shape,rectangle,wide,sides,different,angles,shapes,like,shape,evenly,different,evenly,shape,gap,shape,halves,relation,flipped,either,facing,images,wrong,equilateral,wrong,either,little,shapes,shapes,parallel,lines,orientation,orientation,smaller,pointing,within,figure,different,orientation,line,facing,line,facing,bigger,small,orientation,right,unique,line,open,connected,shapes,shapes,dot,isnt,line,line,shape,circletriange
curved,curved,straight,end,sides,3,90,almost,perpendicular,cross,lines,right,dot,others,circle,different,middle,dot,equilateral,shape,amount,closer,longest,white,rectangle,versus,different,rectangular,wide,length,shape,distorted,shapes,others,shape,split,different,split,shape,middle,shape,arent,relation,one,either,dot,mirror,shapes,triangles,different,either,big,shapes,alignment,parallel,arent,different,isnt,smaller,side,shape,point,orientation,different,line,right,line,wrong,bigger,circles,different,lines,arrangement,two,shape,shape,one,two,dot,line,line,isnt,goes,shaped
curved,straight,straight,line,sides,sides,90,flat,perpendicular,plus,lines,angle,farther,small,circle,dot,middle,left,equilateral,leaner,amount,edge,longest,dot,rectangle,square,different,shape,wide,seem,shape,angles,mirror,triangle,shape,vertically,different,horizontally,shape,shape,shape,identical,one,second,side,angle,mirror,mirrored,triangles,orientation,either,smaller,pointing,shapes,parallel,parallel,different,facing,smaller,two,shape,figure,orientation,orientation,right,point,line,way,bigger,perfectly,different,wrong,arrangement,points,shape,isnt,one,shapes,line,dot,line,curved,goes,like
line,line,line,point,three,triangle,degrees,triangle,lines,doesnt,perpendicular,right,farther,black,circle,orientation,middle,hand,triangle,shape,space,dot,longest,closer,rectangle,square,different,diagonal,wide,match,different,shape,mirror,mirror,different,jutting,shape,cant,empty,hole,shape,split,one,symbol,side,base,images,shapes,triangles,one,side,second,pointing,alignment,lines,lines,different,left,smaller,shapes,circle,black,different,lines,right,facing,horizontal,2,bigger,spaced,different,angle,arrangement,separated,shape,connected,two,two,line,isnt,straight,line,goes,moon
line,slight,line,aligned,three,shape,degrees,almost,lines,90,perpendicular,angle,farther,circle,bigger,different,middle,side,triangle,leaner,space,closer,longest,acute,rectangle,square,different,lines,end,2,different,isnt,mirror,images,different,sides,shape,evenly,empty,figure,shape,horizontally,one,flipped,side,facing,images,mirrored,triangles,shape,side,shape,direction,pointing,lines,parallel,orientation,isnt,smaller,pointing,circle,circle,different,parallel,right,right,horizontal,small,space,small,orientation,lines,arrangement,line,open,shape,two,shapes,line,line,straight,straight,goes,circletriange
